# Golden vector: Zeta.Core.CliffordPeriodicity over the signatures below.
#
# GENERATED BY THE F# MODULE ITSELF, not by the TypeScript transcription that
# consumes it -- that is the whole point. Regenerate with:
#
#   dotnet fsi src/Core.TypeScript/research/testdata/dump-clifford-grid.fsx
#
# Text, not binary, per .claude/rules/no-binary-in-proof-lineage.md: every byte
# of this file is diffable and mergeable.
#
# TWO ROW KINDS:
#   ND p q s ground matrixDim isSplit
#      classify p q -- the Atiyah-Bott-Shapiro clock, 0 <= p,q <= 12.
#
#   DG p q r dim radical qGround qMatrixDim qIsSplit
#      classifyDegenerate p q r, 0 <= p,q <= 6, 0 <= r <= 4. The clock is
#      INAPPLICABLE to r > 0 (not semisimple), so these rows carry the total
#      dimension, the Jacobson radical, and the semisimple quotient instead.
#      The PGA(3D) row is 'DG 3 0 1 16 8 C 2 False' -- 16 is GATr's published
#      multivector dimension, predicted here rather than fitted.
DG 5 0 0 32 0 H 2 True
DG 5 0 1 64 32 H 2 True
DG 5 0 2 128 96 H 2 True
DG 5 0 3 256 224 H 2 True
DG 5 0 4 512 480 H 2 True
DG 5 1 0 64 0 H 4 False
DG 5 1 1 128 64 H 4 False
DG 5 1 2 256 192 H 4 False
DG 5 1 3 512 448 H 4 False
DG 5 1 4 1024 960 H 4 False
DG 5 2 0 128 0 C 8 False
DG 5 2 1 256 128 C 8 False
DG 5 2 2 512 384 C 8 False
DG 5 2 3 1024 896 C 8 False
DG 5 2 4 2048 1920 C 8 False
DG 5 3 0 256 0 R 16 False
DG 5 3 1 512 256 R 16 False
DG 5 3 2 1024 768 R 16 False
DG 5 3 3 2048 1792 R 16 False
DG 5 3 4 4096 3840 R 16 False
DG 5 4 0 512 0 R 16 True
DG 5 4 1 1024 512 R 16 True
DG 5 4 2 2048 1536 R 16 True
DG 5 4 3 4096 3584 R 16 True
DG 5 4 4 8192 7680 R 16 True
DG 5 5 0 1024 0 R 32 False
DG 5 5 1 2048 1024 R 32 False
DG 5 5 2 4096 3072 R 32 False
DG 5 5 3 8192 7168 R 32 False
DG 5 5 4 16384 15360 R 32 False
DG 5 6 0 2048 0 C 32 False
DG 5 6 1 4096 2048 C 32 False
DG 5 6 2 8192 6144 C 32 False
DG 5 6 3 16384 14336 C 32 False
DG 5 6 4 32768 30720 C 32 False
DG 6 0 0 64 0 H 4 False
DG 6 0 1 128 64 H 4 False
DG 6 0 2 256 192 H 4 False
DG 6 0 3 512 448 H 4 False
DG 6 0 4 1024 960 H 4 False
DG 6 1 0 128 0 H 4 True
DG 6 1 1 256 128 H 4 True
DG 6 1 2 512 384 H 4 True
DG 6 1 3 1024 896 H 4 True
DG 6 1 4 2048 1920 H 4 True
DG 6 2 0 256 0 H 8 False
DG 6 2 1 512 256 H 8 False
DG 6 2 2 1024 768 H 8 False
DG 6 2 3 2048 1792 H 8 False
DG 6 2 4 4096 3840 H 8 False
DG 6 3 0 512 0 C 16 False
DG 6 3 1 1024 512 C 16 False
DG 6 3 2 2048 1536 C 16 False
DG 6 3 3 4096 3584 C 16 False
DG 6 3 4 8192 7680 C 16 False
DG 6 4 0 1024 0 R 32 False
DG 6 4 1 2048 1024 R 32 False
DG 6 4 2 4096 3072 R 32 False
DG 6 4 3 8192 7168 R 32 False
DG 6 4 4 16384 15360 R 32 False
DG 6 5 0 2048 0 R 32 True
DG 6 5 1 4096 2048 R 32 True
DG 6 5 2 8192 6144 R 32 True
DG 6 5 3 16384 14336 R 32 True
DG 6 5 4 32768 30720 R 32 True
DG 6 6 0 4096 0 R 64 False
DG 6 6 1 8192 4096 R 64 False
DG 6 6 2 16384 12288 R 64 False
DG 6 6 3 32768 28672 R 64 False
DG 6 6 4 65536 61440 R 64 False
