# argv: /bin/ps -Ao pid,ppid,rss,%cpu,state,comm
# exit: 0
# at:   2026-08-24T12:51:22.075Z
#
  PID  PPID    RSS  %CPU STAT COMM
  732     1  10640   0.0 S    /System/Library/CoreServices/lockoutagent
  733     1  23216   0.0 S    /usr/libexec/nsurlsessiond
  734     1  34768   0.0 S    /usr/libexec/rapportd
  735     1  64032   0.0 S    /usr/libexec/routined
  737     1  18416   0.0 S    /usr/libexec/dmd
  738     1  45280   0.0 S    /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  739     1  35488   0.0 S    /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  740     1  32576   0.0 S    /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  741     1 117824   0.0 S    /Applications/ExpressVPN.app/Contents/MacOS/ExpressVPN
  742     1  49680   0.0 S    /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  743     1   5808   0.0 S    /usr/sbin/distnoted
  744     1  79136   0.0 S    /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  745     1  19440   0.0 S    /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  746     1 144272  51.2 R    /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  747     1  24272   0.0 S    /System/Library/PrivateFrameworks/CloudSubscriptionFeatures.framework/FeatureAccessAgent
  748     1  80608   0.0 S    /System/Library/CoreServices/iconservicesagent
  749     1  42304   0.0 S    /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  750     1  10848   0.0 S    /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
  751     1  10688   0.0 S    /usr/libexec/assessmentagent
  752     1  48864   0.0 S    /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  753     1  23536   0.0 S    /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
